SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,1 Baldwin Ave #705,San Mateo,CA,94401,410000,1,1.0,,800,,1988,,513,,,,,http://www.redfin.com/CA/San-Mateo/1-Baldwin-Ave-94401/unit-705/home/1465505,,,N,Y,37.5661064,-122.3279541
PAST SALE,,Condo/Co-op,1 Baldwin Ave #505,San Mateo,CA,94401,460000,1,1.0,,800,,1988,,575,,,,,http://www.redfin.com/CA/San-Mateo/1-Baldwin-Ave-94401/unit-505/home/2003334,,,N,Y,37.5661064,-122.3279541
PAST SALE,,Condo/Co-op,1 Baldwin Ave #622,San Mateo,CA,94401,675000,1,1.0,,1100,,1988,,614,,,,,http://www.redfin.com/CA/San-Mateo/1-Baldwin-Ave-94401/unit-622/home/2045204,,,N,Y,37.5661064,-122.3279541
PAST SALE,,Condo/Co-op,172 Tilton Ave,San Mateo,CA,94401,1350000,3,3.0,,1374,,2017,,983,,,,,http://www.redfin.com/CA/San-Mateo/172-Tilton-Ave-94401/home/146705078,,,N,Y,37.567557,-122.328506
PAST SALE,,Other,342 Highland Ave,San Mateo,CA,94401,7250000,24,2.0,,,17336,1971,,,,,,,http://www.redfin.com/CA/San-Mateo/342-Highland-Ave-94401/home/1468339,,,N,Y,37.570807,-122.33398
PAST SALE,July-13-2020,Townhouse,358 N El Camino Real #13,SAN MATEO,CA,94401,930000,2,2.5,SAN MATEO,944,19842,1998,75,985,425,Sold,,,http://www.redfin.com/CA/San-Mateo/358-N-El-Camino-Real-94401/unit-13/home/1653674,MLSListings,ML81795412,N,Y,37.5699034,-122.334658
PAST SALE,,Condo/Co-op,21 S Claremont St #16,San Mateo,CA,94401,500000,1,2.0,,400,,2011,,1250,,,,,http://www.redfin.com/CA/San-Mateo/21-S-Claremont-St-94401/unit-16/home/40100364,,,N,Y,37.5688249,-122.3228266
PAST SALE,April-11-2019,Condo/Co-op,324 Catalpa St #204,SAN MATEO,CA,94401,315000,0,1.0,SAN MATEO,390,27645,1983,534,808,326,Sold,,,http://www.redfin.com/CA/San-Mateo/324-Catalpa-St-94401/unit-204/home/1570154,MLSListings,ML81735770,N,Y,37.569874,-122.3267028
PAST SALE,,Other,122 S Grant St,San Mateo,CA,94401,1100000,5,3.0,,,8400,1987,,,,,,,http://www.redfin.com/CA/San-Mateo/122-S-Grant-St-94401/home/1966742,,,N,Y,37.5703727,-122.3191
PAST SALE,April-18-2017,Single Family Residential,677 Vanessa Dr,SAN MATEO,CA,94402,1220000,3,2.0,SAN MATEO,1200,5005,1955,1257,1017,,Sold,,,http://www.redfin.com/CA/San-Mateo/677-Vanessa-Dr-94402/home/2014229,MLSListings,ML81643311,N,Y,37.5578697,-122.3058575
